Order ID ,_  Customer ID ,_  SalesPerson ,_  Order Date ,_  Order Priority ,_  SKU ,_  Order Quantity ,_  Unit Sell Price ,_  Discount ,_  Shipping Amount ,_  Ship Mode ,_  Product Container ,_  Ship Date
13729 ,_  C508 ,_  Bob ,_  1/01/2014 ,_  Not Specified ,_  SKU947 ,_  9 ,_  95.99 ,_  0.08 ,_  35 ,_  Express Air ,_  Large Box ,_  3/01/2014
28774 ,_  C372 ,_  John ,_  1/01/2014 ,_  High ,_  SKU937 ,_  32 ,_  5.98 ,_  0.1 ,_  4.69 ,_  Regular Air ,_  Small Box ,_  2/01/2014
9285 ,_  C212 ,_  Bob ,_  2/01/2014 ,_  Critical ,_  SKU363 ,_  3 ,_  40.98 ,_  0.06 ,_  2.99 ,_  Regular Air ,_  Small Box ,_  4/01/2014
37537 ,_  C015 ,_  Bob ,_  2/01/2014 ,_  Low ,_  SKU052 ,_  4 ,_  291.73 ,_  0 ,_  48.8 ,_  Delivery Truck ,_  Jumbo Drum ,_  2/01/2014
37537 ,_  C015 ,_  Bob ,_  2/01/2014 ,_  Low ,_  SKU063 ,_  43 ,_  100.98 ,_  0.07 ,_  45 ,_  Delivery Truck ,_  Jumbo Drum ,_  4/01/2014
37537 ,_  C015 ,_  Richard ,_  2/01/2014 ,_  Low ,_  SKU902 ,_  32 ,_  155.06 ,_  0.05 ,_  7.07 ,_  Regular Air ,_  Small Box ,_  9/01/2014
44069 ,_  C256 ,_  John ,_  2/01/2014 ,_  Critical ,_  SKU557 ,_  16 ,_  9.11 ,_  0.09 ,_  2.15 ,_  Express Air ,_  Wrap Bag ,_  4/01/2014
44069 ,_  C256 ,_  John ,_  2/01/2014 ,_  Critical ,_  SKU603 ,_  43 ,_  15.04 ,_  0.08 ,_  1.97 ,_  Regular Air ,_  Wrap Bag ,_  2/01/2014
30016 ,_  C089 ,_  John ,_  3/01/2014 ,_  Critical ,_  SKU731 ,_  15 ,_  5.28 ,_  0.03 ,_  5.66 ,_  Regular Air ,_  Small Box ,_  5/01/2014
30016 ,_  C089 ,_  John ,_  3/01/2014 ,_  Critical ,_  SKU1244 ,_  8 ,_  110.99 ,_  0.01 ,_  2.5 ,_  Regular Air ,_  Small Box ,_  6/01/2014
