Order ID  $§_44_ Customer ID  $§_44_ SalesPerson  $§_44_ Order Date  $§_44_ Order Priority  $§_44_ SKU  $§_44_ Order Quantity  $§_44_ Unit Sell Price  $§_44_ Discount  $§_44_ Shipping Amount  $§_44_ Ship Mode  $§_44_ Product Container  $§_44_ Ship Date
29030  $§_44_ C660  $§_44_ Richard  $§_44_ 1/01/2020  $§_44_ Medium  $§_44_ SKU814  $§_44_ 10  $§_44_ 19.84  $§_44_ 0.05  $§_44_ 4.1  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 2/01/2020
47591  $§_44_ C198  $§_44_ Bob  $§_44_ 1/01/2020  $§_44_ Critical  $§_44_ SKU957  $§_44_ 27  $§_44_ 10.48  $§_44_ 0.1  $§_44_ 6.91  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 2/01/2020
54214  $§_44_ C628  $§_44_ Bob  $§_44_ 1/01/2020  $§_44_ Medium  $§_44_ SKU1076  $§_44_ 38  $§_44_ 199.99  $§_44_ 0.04  $§_44_ 24.49  $§_44_ Express Air  $§_44_ Large Box  $§_44_ 4/01/2020
10945  $§_44_ C623  $§_44_ Bob  $§_44_ 2/01/2020  $§_44_ Medium  $§_44_ SKU1158  $§_44_ 14  $§_44_ 95.99  $§_44_ 0.04  $§_44_ 8.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 4/01/2020
50471  $§_44_ C219  $§_44_ Bob  $§_44_ 2/01/2020  $§_44_ Low  $§_44_ SKU059  $§_44_ 25  $§_44_ 226.67  $§_44_ 0.02  $§_44_ 28.16  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 4/01/2020
16164  $§_44_ C278  $§_44_ John  $§_44_ 2/01/2020  $§_44_ Low  $§_44_ SKU1113  $§_44_ 26  $§_44_ 90.97  $§_44_ 0.03  $§_44_ 14  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 6/01/2020
43494  $§_44_ C375  $§_44_ Bob  $§_44_ 2/01/2020  $§_44_ Medium  $§_44_ SKU1129  $§_44_ 2  $§_44_ 1938.02  $§_44_ 0.09  $§_44_ 13.99  $§_44_ Regular Air  $§_44_ Medium Box  $§_44_ 3/01/2020
16164  $§_44_ C278  $§_44_ John  $§_44_ 2/01/2020  $§_44_ Low  $§_44_ SKU481  $§_44_ 22  $§_44_ 162.93  $§_44_ 0.07  $§_44_ 19.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 11/01/2020
16164  $§_44_ C278  $§_44_ Bob  $§_44_ 2/01/2020  $§_44_ Low  $§_44_ SKU745  $§_44_ 26  $§_44_ 2.52  $§_44_ 0.08  $§_44_ 4.28  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 9/01/2020
35811  $§_44_ C163  $§_44_ Bob  $§_44_ 2/01/2020  $§_44_ Critical  $§_44_ SKU482  $§_44_ 49  $§_44_ 15.57  $§_44_ 0.1  $§_44_ 1.39  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 3/01/2020
35811  $§_44_ C163  $§_44_ Bob  $§_44_ 2/01/2020  $§_44_ Critical  $§_44_ SKU781  $§_44_ 6  $§_44_ 1.76  $§_44_ 0.1  $§_44_ 0.7  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 4/01/2020
